,AirportCode,City,Lat,Long
64,FWA,Fort Wayne,40.9785,-85.1951
65,GEG,Spokane,47.6199,-117.5339
66,GLH,Greenville (MS),33.4829,-90.9856
67,GNV,Gainesville,29.69,-82.2717
68,GPT,Gulfport,30.4073,-89.0701
69,GRB,Green Bay,44.4851,-88.1296
70,GRR,Grand Rapids,42.8808,-85.5228
71,GSO,Greensboro,36.0978,-79.9373
72,GSP,Greenville/Spartanburg,34.8957,-82.2189
73,GTF,Great Falls,47.482,-111.3709
74,HHH,Hilton Head,32.2244,-80.6975
75,HLN,Helena,46.6068,-111.9827
76,HOB,Hobbs,32.6875,-103.217
77,HOT,Hot Springs,34.478,-93.0962
78,HPN,White Plains,41.067,-73.7076
79,HRO,Harrison,36.2615,-93.1547
80,HSV,Huntsville,34.6372,-86.7751
81,HYS,Hays,38.8422,-99.2732
82,IAD,Washington (Dulles),38.9531,-77.4565
83,IAH,Houston (Bush),29.9902,-95.3368
84,ICT,Wichita,37.6499,-97.4331
85,ILM,Wilmington (NC),34.2706,-77.9026
86,IMT,Iron Mountain,45.8181,-88.1146
87,IND,Indianapolis,39.7173,-86.2944
88,IPL,El Centro,32.8342,-115.5788
89,JAC,Jackson Hole,43.6073,-110.7377
90,JAN,Jackson (MS),32.3112,-90.0759
91,JAX,Jacksonville,30.4941,-81.6879
92,JFK,New York (JFK),40.6413,-73.7781
93,LAX,Los Angeles,33.9425,-118.4081
94,LEX,Lexington,38.0365,-84.606
95,LFT,Lafayette,30.2053,-91.9876
96,LGA,New York (LaGuardia),40.7773,-73.8726
97,LIT,Little Rock,34.7294,-92.2243
98,LNK,Lincoln,40.851,-96.7592
99,LNS,Lancaster,40.1217,-76.2961
100,LAS,Las Vegas,36.084,-115.1537
101,MAF,Midland,31.9425,-102.2019
102,MBS,Saginaw,43.5329,-84.0797
103,MCI,Kansas City,39.2976,-94.7139
104,MCO,Orlando,28.4312,-81.3081
105,MDT,Harrisburg,40.1935,-76.7634
106,MEM,Memphis,35.0424,-89.9767
107,MFR,Medford,42.3742,-122.8735
108,MGM,Montgomery,32.3006,-86.394
109,MGW,Morgantown,39.6429,-79.9163
110,MHK,Manhattan (KS),39.141,-96.6708
111,MHT,Manchester (NH),42.9326,-71.4357
112,MIA,Miami,25.7959,-80.287
113,MKE,Milwaukee,42.9472,-87.8966
114,MKL,Jackson (TN),35.5999,-88.9156
115,MLI,Moline,41.4485,-90.5075
116,MOB,Mobile,30.6912,-88.2428
117,MRY,Monterey,36.587,-121.8428
118,MSN,Madison,43.1399,-89.3375
119,MSO,Missoula,46.9163,-114.0906
120,MSP,Minneapolis,44.8848,-93.2223
121,MSS,Massena,44.9356,-74.8456
122,MSY,New Orleans,29.9934,-90.258
123,MVY,Martha's Vineyard,41.3931,-70.6153
124,MWA,Marion (IL),37.755,-89.0112
125,MYR,Myrtle Beach,33.6797,-78.9283
126,OAK,Oakland,37.7213,-122.2208
127,OKC,Oklahoma City,35.3931,-97.6007
128,OMA,Omaha,41.3032,-95.8941
129,ONT,Ontario (CA),34.056,-117.6012
130,ORD,Chicago (O'Hare),41.9742,-87.9073
131,ORF,Norfolk,36.8976,-76.0132
132,OWB,Owensboro,37.7401,-87.1668
133,PBI,West Palm Beach,26.6832,-80.0956
134,PDX,Portland (OR),45.5898,-122.5951
135,PHL,Philadelphia,39.8721,-75.2411
136,PHF,Newport News,37.1319,-76.493
137,PHX,Phoenix,33.4373,-112.0078
138,PIA,Peoria,40.6642,-89.6933
139,PIT,Pittsburgh,40.4915,-80.2329
140,PNS,Pensacola,30.4734,-87.1866
141,PSC,Pasco (Tri-Cities),46.2647,-119.119
142,PSP,Palm Springs,33.8297,-116.5067
143,PVD,Providence,41.7272,-71.4282
144,PWM,Portland (ME),43.6462,-70.3093
145,RAP,Rapid City,44.0453,-103.0574
146,RDD,Redding,40.509,-122.2933
147,RDM,Redmond/Bend,44.2541,-121.15
148,RDU,Raleigh/Durham,35.8776,-78.7875
149,RIC,Richmond,37.5052,-77.3197
150,RNO,Reno,39.4991,-119.7681
151,ROA,Roanoke,37.3255,-79.9754
152,ROC,Rochester (NY),43.1189,-77.6724
153,RSW,Fort Myers,26.5362,-81.7552
154,SAF,Santa Fe,35.6171,-106.0887
155,SAN,San Diego,32.7338,-117.1933
156,SAT,San Antonio,29.5337,-98.4698
157,SAV,Savannah,32.1276,-81.2021
158,SBA,Santa Barbara,34.4262,-119.8404
159,SBP,San Luis Obispo,35.2368,-120.6424
160,SCE,State College,40.8493,-77.8488
161,SDF,Louisville,38.1744,-85.736
162,SEA,Seattle,47.4502,-122.3088
163,SFO,San Francisco,37.6213,-122.379
164,SGF,Springfield (MO),37.2457,-93.3886
165,SHV,Shreveport,32.4466,-93.8256
166,SJC,San Jose,37.3626,-121.929
167,SJU,San Juan,18.4394,-66.0018
168,SLC,Salt Lake City,40.7884,-111.9778
169,SLK,Saranac Lake,44.3853,-74.2062
170,SMF,Sacramento,38.6954,-121.5908
171,SNA,Santa Ana,33.6757,-117.8682
172,SRQ,Sarasota,27.3954,-82.5544
173,STL,St. Louis,38.7487,-90.37
174,SUX,Sioux City,42.4026,-96.3844
175,SUN,Sun Valley,43.5044,-114.2965
176,SYR,Syracuse,43.1112,-76.1063
177,TBN,Fort Leonard Wood,37.7416,-92.1408
178,TEX,Telluride,37.9538,-107.9077
179,TLH,Tallahassee,30.3965,-84.3503
180,TPA,Tampa,27.9755,-82.5332
181,TTN,Trenton,40.2767,-74.8135
182,TUL,Tulsa,36.1984,-95.8881
183,TUS,Tucson,32.1161,-110.941
184,TVC,Traverse City,44.7414,-85.5822
185,TYS,Knoxville,35.811,-83.994
186,UIN,Quincy,39.9427,-91.1946
187,XNA,Fayetteville/Springdale,36.2819,-94.3068
